Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
Ft Mitchell Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Ft Mitchell, Alabama,12705,https://www.ewg.org/tapwater/system.php?pws=AL0001137,2,8 ,2012-2017,Groundwater,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Bromodichloromethane;Bromoform;Dibromochloromethane;Haloacetic acids (HAA5);Manganese
Gadsden Water Works and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Gadsden, Alabama,44637,https://www.ewg.org/tapwater/system.php?pws=AL0000577,8,19 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Perfluoroheptanoic acid (PFHPA);Perfluorooctane sulfonate (PFOS);Perfluorooctanoic acid (PFOA);Total trihalomethanes (TTHMs),Aluminum;Bromoform;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Nitrate and nitrite;Strontium;Vanadium
Gulf Shores,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Gulf Shores, Alabama,23823,https://www.ewg.org/tapwater/system.php?pws=AL0000038,7,16 ,2012-2017,Groundwater,1%2C2%2C3-Trichloropropane;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Bromoform;Chlorate;Chloroform;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Strontium
Guntersville Water Works and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Guntersville, Alabama,12612,https://www.ewg.org/tapwater/system.php?pws=AL0000943,6,14 ,2012-2017,Surface water,Bromodichloromethane;Chlorite;Chloroform;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs),Aluminum;Chlorate;Fluoride;Haloacetic acids (HAA5);Nitrate and nitrite;Strontium;Vanadium
Haleyville Water Works and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Haleyville, Alabama,23808,https://www.ewg.org/tapwater/system.php?pws=AL0001411,8,14 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chlorite*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Nitrate*;Nitrate and nitrite*;Total trihalomethanes (TTHMs),Chromium (total);Fluoride*;Haloacetic acids (HAA5);Manganese*;Strontium
Hamilton Water Works and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Hamilton, Alabama,10500,https://www.ewg.org/tapwater/system.php?pws=AL0000926,7,11 ,2012-2017,Surface water,Bromodichloromethane;Chlorite;Chloroform;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Fluoride;Haloacetic acids (HAA5);Manganese
Hartselle Utility Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Hartselle, Alabama,20631,https://www.ewg.org/tapwater/system.php?pws=AL0001086,7,14 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Nitrate*;Nitrate and nitrite*;Total trihalomethanes (TTHMs),Chlorate;Chromium (total);Fluoride*;Haloacetic acids (HAA5);Strontium;Vanadium
Harvest-Monrovia Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Harvest, Alabama,32109,https://www.ewg.org/tapwater/system.php?pws=AL0000878,6,18 ,2012-2017,Purchased groundwater under influence of surface water,Bromodichloromethane;Chromium (hexavalent);Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chlorate;Chloroform;Chromium (total);Dibromochloromethane;Haloacetic acids (HAA5);Manganese;Selenium;Silver;Simazine;Strontium;Vanadium
Helena Utility Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Helena, Alabama,18900,https://www.ewg.org/tapwater/system.php?pws=AL0001157,7,12 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
Henry County Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Abbeville, Alabama,10440,https://www.ewg.org/tapwater/system.php?pws=AL0000663,2,5 ,2012-2017,Groundwater,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Haloacetic acids (HAA5);Nitrate
Huntsville Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Huntsville, Alabama,219168,https://www.ewg.org/tapwater/system.php?pws=AL0000882,7,19 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Aluminum;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Tetrachloroethylene (perchloroethylene);Toluene;Vanadium
Jacksonville Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Jacksonville, Alabama,13884,https://www.ewg.org/tapwater/system.php?pws=AL0000154,8,14 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs),Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Jasper Water Works and Sewer Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Jasper, Alabama,29700,https://www.ewg.org/tapwater/system.php?pws=AL0001336,7,13 ,2012-2017,Surface water,Bromodichloromethane;Chlorite;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Leeds Water Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Leeds, Alabama,17355,https://www.ewg.org/tapwater/system.php?pws=AL0000753,6,17 ,2012-2017,Groundwater,Bromodichloromethane;Chromium (hexavalent);Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Barium;Bromoform;Chlorate;Chloroform;Di(2-ethylhexyl) phthalate;Dibromochloromethane;Haloacetic acids (HAA5);Manganese;Strontium;Vanadium
